Title,Relevant,Reason for relevancy,Reviewer 2,Source,Search String,Search Criteria,Publication or Preprints,English,Tool,Less than 8 pages,No Empirical Data,Secondary Studies,Tool Available,Tool Installed/Executed,Repo Link,Quantitative evaluation,User study,Traditional Method,Deep Learning,LLM,Traces,Logs,Metrics,Other Data Type,Anomaly Type Discussed,
Knowledge-aware Alert Aggregation in Large-scale Cloud Systems: a Hybrid Approach (2024),Yes?,,,Arxiv,"software AND microservice* AND (anomal* OR bug OR event) AND (""large language model*"" OR ""gen* ai"" OR ""foundation model*"" OR LLM OR GPT OR chatbot) AND (trac* OR log* OR metric*)",None,Yes,Yes,Yes,No,No,No,0,,,,,,,,,,,,,
Large Language Models can Deliver Accurate and Interpretable Time Series Anomaly Detection (2024),Yes,,,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
mABC: multi-Agent Blockchain-Inspired Collaboration for root cause analysis in micro-services architecture (2024),Yes,,,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
"LLM-Based Kubernetes Misconfiguration Detection, Localization, Reasoning, and Remediation (2024)",Yes,,,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
Automated Root Causing of Cloud Incidents using In-Context Learning with GPT-4 (2024),Yes,,,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
RCAgent: Cloud Root Cause Analysis by Autonomous Agents with Tool-Augmented Large Language Models (2023),Yes,,,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
Hierarchical Fault Profiling of Incident Tickets in Large-scale Cloud Systems (2024),Yes,,,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
Empowering Incident Management with Query Recommendations via Large Language Models (2023),Yes,,,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
Exploring LLM-based Agents for Root Cause Analysis (2024),Yes,,,,,,Yes,Yes,Yes,No,No,Yes,,,,,,,,,,,,,,
X-lifecycle Learning for Cloud Incident Management using LLMs (2024),Yes,,,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
Learning Representations on Logs for AIOps (2023),Yes,,,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
LogGPT: Exploring ChatGPT for Log-Based Anomaly Detection (2023),Yes,,,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
Multi-modal Causal Structure Learning and Root Cause Analysis (2024),Yes,,,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
