Title,Relevant,Reason for relevancy,Reviewer 2,Link,Source,Search String,Search Criteria,Publication or Preprints,English,Tool,Less than 8 pages,No Empirical Data,Secondary Studies,Tool Available,Tool Installed/Executed,Repo Link,Quantitative evaluation,User study,Traditional Method,Deep Learning,LLM,Traces,Logs,Metrics,Other Data Type,Anomaly Type Discussed,
DivLog: Log Parsing with Prompt Enhanced In-Context Learning,No,Log parsing only,,https://dl.acm.org/doi/10.1145/3597503.3639155,ACM,"software AND microservice* AND (anomal* OR bug OR event) AND (""large language model*"" OR ""gen* ai"" OR ""foundation model*"" OR LLM OR *GPT OR chatbot) AND (trac* OR log* OR metric*)",Research Article,,,,,,,,,,,,,,,,,,,,
MSABot: A Chatbot Framework for Assisting in the Development and Operation of Microservice-Based Systems,Yes,,,https://dl.acm.org/doi/10.1145/3387940.3391501,ACM,,,Yes,Yes,Yes,Yes,,No,,,,,,,,,,,,,,
Building a Chatbot with Serverless Computing,No,About building a chatbot. Irrelevant,,https://dl.acm.org/doi/10.1145/3007203.3007217,ACM,,,,,,,,,,,,,,,,,,,,,,
Case study analysis of medical and pharmaceutical chatbots in digital marketing and proposal to create a reliable chatbot with summary extraction based on users' keywords.,No,About chatbot in pharmaceutical,,https://dl.acm.org/doi/10.1145/3594806.3604765,ACM,,,,,,,,,,,,,,,,,,,,,,
ADARMA Auto-Detection and Auto-Remediation of Microservice Anomalies by Leveraging Large Language Models,Yes,,,https://dl.acm.org/doi/10.5555/3615924.3615949,ACM,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,
Towards fluid software architectures: bidirectional human-AI interaction,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.1109/ASE51524.2021.9678647,ACM,,,,,,,,,,,,,,,,,,,,,,
Concept-Centric Software Development: An Experience Report,No,Experience report with no tool,,https://dl.acm.org/doi/10.1145/3622758.3622894,ACM,,,,,,,,,,,,,,,,,,,,,,
3𝑟𝑑 Workshop on Software Techniques for Engineering Cyber-Physical Systems,No,Related to cyber-physical systems,,https://dl.acm.org/doi/10.5555/3615924.3623627,ACM,,,,,,,,,,,,,,,,,,,,,,
On-Premise AIOps Infrastructure for a Software Editor SME: An Experience Report,No,Experience report with no tool,,https://dl.acm.org/doi/10.1145/3611643.3613876,ACM,,,,,,,,,,,,,,,,,,,,,,
Models for Detecting Performance Anomalies and Identifying Root Causes in Microservices Applications,Yes,,,https://dl.acm.org/doi/10.5555/3615924.3623633,ACM,,,Yes,,,Yes,,,,,,,,,,,,,,,,
Covid Connect: Chat-Driven Anonymous Story-Sharing for Peer Support,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.1145/3532106.3533545,ACM,,,,,,,,,,,,,,,,,,,,,,
Software Engineering Patterns for Machine Learning Applications (SEP4MLA) - Part 4 - ML Gateway Routing Architecture,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.5555/3631672.3631680,ACM,,,,,,,,,,,,,,,,,,,,,,
A User-driven Adaptation Approach for Microservice-based IoT Applications,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.1145/3494322.3494329,ACM,,,,,,,,,,,,,,,,,,,,,,
Supporting Teachers and Students Through a Smart Integrated System for Truly Inclusive Higher Education: Smart Integrated System for Truly Inclusive Higher Education,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.1145/3563137.3563173,ACM,,,,,,,,,,,,,,,,,,,,,,
Enhancing the Configuration Tuning Pipeline of Large-Scale Distributed Applications Using Large Language Models (Idea Paper),No,Idea paper,,https://dl.acm.org/doi/10.1145/3578245.3585032,ACM,,,,,,,,,,,,,,,,,,,,,,
A Multiple Case Study of Artificial Intelligent System Development in Industry,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.1145/3383219.3383220,ACM,,,,,,,,,,,,,,,,,,,,,,
How is Transient Behavior Addressed in Practice?: Insights from a Series of Expert Interviews,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.1145/3491204.3527483,ACM,,,,,,,,,,,,,,,,,,,,,,
A Holistic View of AI-driven Network Incident Management,Yes,,,https://dl.acm.org/doi/10.1145/3626111.3628176,ACM,,,Yes,Yes,No,No,,,,,,,,,,,,,,,,
Automated Test Generation for Medical Rules Web Services: A Case Study at the Cancer Registry of Norway,No,Related to software testing,,https://dl.acm.org/doi/10.1145/3611643.3613882,ACM,,,,,,,,,,,,,,,,,,,,,,
Pair programming conversations with agents vs. developers: challenges and opportunities for SE community,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.1145/3540250.3549127,ACM,,,,,,,,,,,,,,,,,,,,,,
Function-as-a-Service Application Service Composition: Implications for a Natural Language Processing Application,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.1145/3366623.3368141,ACM,,,,,,,,,,,,,,,,,,,,,,
Hitchhiker's Guide for Explainability in Autoscaling,No,Evaluation scheme proposed but not tool,,https://dl.acm.org/doi/10.1145/3578245.3584728,ACM,,,,,,,,,,,,,,,,,,,,,,
Hazelcast jet: low-latency stream processing at the 99.99th percentile,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.14778/3476311.3476387,ACM,,,,,,,,,,,,,,,,,,,,,,
An Empirical Study of Developer Discussions in the Gitter Platform,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.1145/3412378,ACM,,,,,,,,,,,,,,,,,,,,,,
Challenges & opportunities in low-code testing,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.1145/3417990.3420204,ACM,,,,,,,,,,,,,,,,,,,,,,
Using a serverless framework for implementing a cognitive tutor: experiences and issues,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.1145/3154847.3154852,ACM,,,,,,,,,,,,,,,,,,,,,,
Automated Grading and Feedback Tools for Programming Education: A Systematic Review,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.1145/3636515,ACM,,,,,,,,,,,,,,,,,,,,,,
Formal foundations of serverless computing,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.1145/3360575,ACM,,,,,,,,,,,,,,,,,,,,,,
Modernization of Databases in the Cloud Era: Building Databases that Run Like Legos,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.14778/3611540.3611639,ACM,,,,,,,,,,,,,,,,,,,,,,
The Exploitation of OpenAPI Documentation for the Generation of Web Frontends,No,Unrelated to software maintenance/operations,,https://dl.acm.org/doi/10.1145/3184558.3188740,ACM,,,,,,,,,,,,,,,,,,,,,,
