Title,Relevant,Reason for relevancy,Reviewer 2,Link,Source,Search String,Search Criteria,Publication or Preprints,English,Tool,Less than 8 pages,No Empirical Data,Secondary Studies,Tool Available,Tool Installed/Executed,Repo Link,Quantitative evaluation,User study,Traditional Method,Deep Learning,LLM,Traces,Logs,Metrics,Other Data Type,Anomaly Type Discussed,
Bots in Software Development: A Systematic Literature Review and Thematic Analysis,No,Systematic review,,https://link.springer.com/article/10.1134/S0361768823080145,SpringerLink,"software AND microservice* AND ( anomal* OR bug OR event ) AND ( ""large language model*"" OR ""gen* ai"" OR ""foundation model*"" OR llm OR *gpt OR chatbot ) AND ( trac* OR log* OR metric* )","Chapter, Conference paper, research article, computer science, engineering, English",,,,,,,,,,,,,,,,,,,,
AI Chatbot for Teachers for an LMS Platform,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-3-031-45645-9_29,,,,,,,,,,,,,,,,,,,,,,,
Developer discussion topics on the adoption and barriers of low code software development platforms,No,Unrelated to software maintenance/operations,,https://link.springer.com/article/10.1007/s10664-022-10244-0,,,,,,,,,,,,,,,,,,,,,,,
Evaluating ChatGPT’s Proficiency in Understanding and Answering Microservice Architecture Queries Using Source Code Insights,Yes?,"It is not entirely incidence response, but I think this knowledge can be helpful in an incident",,https://link.springer.com/article/10.1007/s42979-024-02664-0,,,,,,,,,,,,,,,,,,,,,,,
Interactive Elicitation of Resilience Scenarios Based on Hazard Analysis Techniques,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-3-031-15116-3_11,,,,,,,,,,,,,,,,,,,,,,,
Modeling and enforcing access control policies in conversational user interfaces,No,More related to access/security,,https://link.springer.com/article/10.1007/s10270-023-01131-3,,,,,,,,,,,,,,,,,,,,,,,
A framework for Model-Driven Engineering of resilient software-controlled systems,No,Unrelated to software maintenance/operations,,https://link.springer.com/article/10.1007/s00607-020-00841-6,,,,,,,,,,,,,,,,,,,,,,,
Challenges of Low-Code/No-Code Software Development: A Literature Review,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-3-031-16947-2_1,,,,,,,,,,,,,,,,,,,,,,,
Cloud-Native Development within Radical Therapy Philosophy,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/979-8-8688-0187-7_5,,,,,,,,,,,,,,,,,,,,,,,
Ansible for Enterprise,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-1-4842-9285-3_8,,,,,,,,,,,,,,,,,,,,,,,
"Modelling, Design and Simulation as-a-Service Based on Extended Reality (XR) in Industry 4.0",No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-3-031-54034-9_4,,,,,,,,,,,,,,,,,,,,,,,
Work Time Organization,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-1-4842-9795-7_2,,,,,,,,,,,,,,,,,,,,,,,
An Open Framework for Nonverbal Communication in Human-Robot Interaction,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-3-031-48642-5_3,,,,,,,,,,,,,,,,,,,,,,,
An ambient assisted living architecture for hospital at home coupled with a process-oriented perspective,No,Unrelated to software maintenance/operations,,https://link.springer.com/article/10.1007/s12652-022-04388-6,,,,,,,,,,,,,,,,,,,,,,,
Dial4JaCa – A Communication Interface Between Multi-agent Systems and Chatbots,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-3-030-85739-4_7,,,,,,,,,,,,,,,,,,,,,,,
An empirical study of IoT topics in IoT developer discussions on Stack Overflow,No,Unrelated to software maintenance/operations,,https://link.springer.com/article/10.1007/s10664-021-10021-5,,,,,,,,,,,,,,,,,,,,,,,
Architecture,No,Related to serverless architecture,,https://link.springer.com/chapter/10.1007/978-1-4842-8761-3_9,,,,,,,,,,,,,,,,,,,,,,,
Accelerating Product Success: Designing a Digital Adoption Framework to Elevate Developer Experiences,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-3-031-50192-0_24,,,,,,,,,,,,,,,,,,,,,,,
API Development,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-1-4842-7313-5_8,,,,,,,,,,,,,,,,,,,,,,,
A heuristic-based package-aware function scheduling approach for creating a trade-off between cold start time and cost in FaaS computing environments,No,Unrelated to software maintenance/operations,,https://link.springer.com/article/10.1007/s11227-023-05128-z,,,,,,,,,,,,,,,,,,,,,,,
Creating the Target Digital Technology Architecture,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-1-4842-9657-8_4,,,,,,,,,,,,,,,,,,,,,,,
Serverless Deployment of a Voice-Bot for Visually Impaired,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-981-33-6173-7_13,,,,,,,,,,,,,,,,,,,,,,,
Advancements in Industry 4.0 Asset Management: Interoperability and Cyber Security Challenges and Opportunities,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-3-031-47448-4_35,,,,,,,,,,,,,,,,,,,,,,,
Industry-Specific Examples with Spring Cloud Function,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-1-4842-8913-6_7,,,,,,,,,,,,,,,,,,,,,,,
Artificial Intelligence (AI) in Human Resource Management (HRM),No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-3-031-52811-8_2,,,,,,,,,,,,,,,,,,,,,,,
Smart Maintenance and Human Factor Modeling for Aircraft Safety,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-3-031-21232-1_2,,,,,,,,,,,,,,,,,,,,,,,
Document-Based Knowledge Discovery with Microservices Architecture,Yes?,"Knowledge discovery could assist in microservice recovery, although its not directly related",,https://link.springer.com/chapter/10.1007/978-3-031-08277-1_13,,,,,,,,,,,,,,,,,,,,,,,
Microservices Architecture and Design,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-1-4842-7226-8_5,,,,,,,,,,,,,,,,,,,,,,,
MERN Stack Web-Based Education Management Information Systems for Pacific Island Countries,No,Unrelated to software maintenance/operations,,https://link.springer.com/article/10.1007/s42979-022-01457-7,,,,,,,,,,,,,,,,,,,,,,,
People,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-1-4842-8761-3_5,,,,,,,,,,,,,,,,,,,,,,,
Using Language Models to Pre-train Features for Optimizing Information Technology Operations Management Tasks,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-3-030-76352-7_18,,,,,,,,,,,,,,,,,,,,,,,
Preparing for Production Deployments,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-1-4842-7815-4_8,,,,,,,,,,,,,,,,,,,,,,,
Digitalization Trends in Real Estate Management,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-3-658-40830-5_2,,,,,,,,,,,,,,,,,,,,,,,
Case Studies,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-1-4842-8761-3_10,,,,,,,,,,,,,,,,,,,,,,,
Partial Migration for Re-architecting a Cloud Native Monolithic Application into Microservices and FaaS,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-981-15-9671-1_9,,,,,,,,,,,,,,,,,,,,,,,
Interface Design for Embedded and Real-Time Systems,No,Unrelated to software maintenance/operations,,https://link.springer.com/referenceworkentry/10.1007/978-981-287-251-7_65,,,,,,,,,,,,,,,,,,,,,,,
Case Study: Building a Serverless Messenger Chatbot,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-3-319-74433-9_6,,,,,,,,,,,,,,,,,,,,,,,
The Development of World Information Technology,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-981-16-9388-5_3,,,,,,,,,,,,,,,,,,,,,,,
X-IoT: Architecture and Use Cases for an IoT Platform in the Area of Smart Cities,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-3-030-82715-1_14,,,,,,,,,,,,,,,,,,,,,,,
A Recommender System for EOSC. Challenges and Possible Solutions,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-3-031-05760-1_5,,,,,,,,,,,,,,,,,,,,,,,
A Conversational Digital Assistant for Intelligent Process Automation,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-3-030-58779-6_6,,,,,,,,,,,,,,,,,,,,,,,
Deploying Stochastic Systems,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-1-4842-9642-4_7,,,,,,,,,,,,,,,,,,,,,,,
On practitioners’ concerns when adopting service mesh frameworks,No,Unrelated to software maintenance/operations,,https://link.springer.com/article/10.1007/s10664-023-10348-1,,,,,,,,,,,,,,,,,,,,,,,
Cloud IoT Platform for Creating Intelligent Industrial Automation Systems,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-3-030-66717-7_5,,,,,,,,,,,,,,,,,,,,,,,
Use Cases,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-1-4842-5836-1_7,,,,,,,,,,,,,,,,,,,,,,,
Identify the Problem to Be Solved,No,Unrelated to software maintenance/operations,,https://link.springer.com/chapter/10.1007/978-1-4842-6385-3_3,,,,,,,,,,,,,,,,,,,,,,,
