Title,Relevant,Reason for relevancy,Reviewer 2,Link,Source,Search String,Search Criteria,Publication or Preprints,English,Tool,Less than 8 pages,No Empirical Data,Secondary Studies,Tool Available,Tool Installed/Executed,Repo Link,Quantitative evaluation,User study,Traditional Method,Deep Learning,LLM,Traces,Logs,Metrics,Other Data Type,Anomaly Type Discussed,
KnowLog: Knowledge Enhanced Pre-trained Language Model for Log Understanding,Yes,,,Link,Scopus,"software AND microservice* AND ( anomal* OR bug OR event ) AND ( ""large language model*"" OR ""gen* ai"" OR ""foundation model*"" OR llm OR *gpt OR chatbot ) AND ( trac* OR log* OR metric* )","Computer Science, Engineering, Conference Paper, Book chapter",Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
Data Motion Acceleration: Chaining Cross-Domain Multi Accelerators,No,Unrelated to software maintenance/operations,,Link,,,,,,,,,,,,,,,,,,,,,,,
Challenges Engaging Formal CBSE in Industrial Applications,No,Related to component-based software engineering,,Link,,,,,,,,,,,,,,,,,,,,,,,
Knowledge-Based Version Incompatibility Detection for Deep Learning,Yes?,"More related to library dependency, but could be interesting?",,Link,,,,,,,,,,,,,,,,,,,,,,,
Assess and Summarize: Improve Outage Understanding with Large Language Models,Yes,,,Link,,,,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,
A Holistic View of AI-driven Network Incident Management,Yes,,,Link,,,,,,No,,,,,,,,,,,,,,,,,
Towards GPU Memory Efficiency for Distributed Training at Scale,No,Unrelated to software maintenance/operations,,Link,,,,,,,,,,,,,,,,,,,,,,,
Enhancing the Configuration Tuning Pipeline of Large-Scale Distributed Applications Using Large Language Models (Idea Paper),No,Idea paper,,Link,,,,,,,,,,,,,,,,,,,,,,,
LogGPT: Exploring ChatGPT for Log-Based Anomaly Detection,Yes,,,Link,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
Design and Development of a Log Management System Based on Cloud Native Architecture,No,Log management,,Link,,,,,,,,,,,,,,,,,,,,,,,
ImDiffusion: Imputed Diffusion Models for Multivariate Time Series Anomaly Detection,Yes,,,Link,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
Formulating an Korean LLM-based Interactive Assistant for Enhanced IT Collaboration in Microservice Environments,No,"IT collaboration, irrelevant to the topic",,Link,,,,,,,,,,,,,,,,,,,,,,,
Agile Teaching: Automated Student Support and Feedback Generation,No,Unrelated to software maintenance/operations,,Link,,,,,,,,,,,,,,,,,,,,,,,
Towards Performance Management of Large-Scale Microservices Applications,No,Performance management,,Link,,,,,,,,,,,,,,,,,,,,,,,
Leveraging Large Language Models for Auto-remediation in Microservices Architecture,Yes,,,Link,,,,,,,Yes,,,,,,,,,,,,,,,,
Towards Effective Bug Reproduction for Mobile Applications,No,Unrelated to software maintenance/operations,,Link,,,,,,,,,,,,,,,,,,,,,,,
ESRO: Experience Assisted Service Reliability against Outages,Yes,,,Link,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
"CIE: A Cloud-Based Information Extraction System for Named Entity Recognition in AWS, Azure, and Medical Domain",No,Unrelated to software maintenance/operations,,Link,,,,,,,,,,,,,,,,,,,,,,,
ADPal: Automatic Detection of Troubled Users in Online Service Systems via Page Access Logs,Yes?,More related to security/user experience?,,Link,,,,,,,,,,,,,,,,,,,,,,,
Contribution of Cloud-Based Services in Post-Pandemic Technology Sustainability and Challenges: A Future Direction,No,Unrelated to software maintenance/operations,,Link,,,,,,,,,,,,,,,,,,,,,,,
Analyzing Declarative Deployment Code with Large Language Models,Yes,,,Link,,,,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,
Pair programming conversations with agents vs. developers: challenges and opportunities for SE community,No,Unrelated to software maintenance/operations,,Link,,,,,,,,,,,,,,,,,,,,,,,
Towards Deceptive Defense in Software Security with Chaff Bugs,No,Unrelated to software maintenance/operations,,Link,,,,,,,,,,,,,,,,,,,,,,,
Ukrainian Language Chatbot for Sentiment Analysis and User Interests Recognition based on Data Mining,No,Unrelated to software maintenance/operations,,Link,,,,,,,,,,,,,,,,,,,,,,,
Exploring the cost and performance benefits of AWS step functions using a data processing pipeline,No,Unrelated to software maintenance/operations,,Link,,,,,,,,,,,,,,,,,,,,,,,
Challenges in developing desktop web apps: A study of stack overflow and github,No,Unrelated to software maintenance/operations,,Link,,,,,,,,,,,,,,,,,,,,,,,
An empirical study of developer discussions on low-code software development challenges,No,Unrelated to software maintenance/operations,,Link,,,,,,,,,,,,,,,,,,,,,,,
Context-Tailored Workload Model Generation for Continuous Representative Load Testing,No,Unrelated to software maintenance/operations,,Link,,,,,,,,,,,,,,,,,,,,,,,
Constructing A Creative Service Software with Semantic Web,No,Unrelated to software maintenance/operations,,Link,,,,,,,,,,,,,,,,,,,,,,,
Sequoia: Enabling quality-of-service in serverless computing,No,Unrelated to software maintenance/operations,,Link,,,,,,,,,,,,,,,,,,,,,,,
Predicting Performance and Cost of Serverless Computing Functions with SAAF,No,Unrelated to software maintenance/operations,,Link,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Rejected,0,0,1,1,0,0,,,,,,,,,,,,,,
